iter	Passed	Remaining
0	1	178
1	3	169
2	4	161
3	6	152
4	8	167
5	10	167
6	12	169
7	14	169
8	16	164
9	17	159
10	19	154
11	20	150
12	21	146
13	23	144
14	24	140
15	27	142
16	28	141
17	30	138
18	31	135
19	33	132
20	34	129
21	35	127
22	37	124
23	38	122
24	40	120
25	42	121
26	44	119
27	45	117
28	47	115
29	48	113
30	49	111
31	51	109
32	52	107
33	54	105
34	56	105
35	58	104
36	60	102
37	61	100
38	62	98
39	64	96
40	65	94
41	66	91
42	67	89
43	69	88
44	71	87
45	72	85
46	74	83
47	75	82
48	77	80
49	78	78
50	80	76
51	81	75
52	82	73
53	85	72
54	86	70
55	87	68
56	89	67
57	90	65
58	93	64
59	95	63
60	96	61
61	97	59
62	100	58
63	101	57
64	103	55
65	104	53
66	106	52
67	107	50
68	108	48
69	110	47
70	111	45
71	113	44
72	115	42
73	116	40
74	118	39
75	119	37
76	120	36
77	122	34
78	123	32
79	125	31
80	126	29
81	129	28
82	131	26
83	132	25
84	133	23
85	135	22
86	136	20
87	138	18
88	139	17
89	141	15
90	142	14
91	144	12
92	145	10
93	147	9
94	148	7
95	149	6
96	151	4
97	152	3
98	154	1
99	155	0
